order_id,name,createdAt,currencyCode,displayFinancialStatus,displayFulfillmentStatus,subtotalPrice,totalShippingPrice,totalTax,totalPrice,customerEmail,shippingCountryCode,shippingProvince,shippingCity,lineItemId,lineItemName,lineItemQuantity,sku,vendor,variantTitle,productId,productTitle,productType,variantId,originalUnitPrice,discountedTotal,lineItemTotalDiscount,requiresShipping,isGiftCard,taxable,imageUrl
gid://shopify/Order/6916038275074,#1200,2025-08-02T04:29:31Z,USD,AUTHORIZED,UNFULFILLED,75.48,4.99,5.28,85.75,user8896@example.com,US,CA,Los Angeles,gid://shopify/LineItem/16109913707188,Elegant Pleated kurta(Off-white),1,sku-kurta-003,stateside2,,gid://shopify/Product/12999935779850,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/50061750165338,75.48,75.48,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6916038275074,#1200,2025-08-02T04:29:31Z,USD,AUTHORIZED,UNFULFILLED,,,,,user8896@example.com,US,CA,Los Angeles,gid://shopify/LineItem/15179943596728,The 3p Fulfilled Snowboard,2,sku-snb-005,stateside2,,gid://shopify/Product/12696050476083,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/50745181288310,0.00,0.00,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
gid://shopify/Order/6953584737771,#1201,2025-07-17T20:47:18Z,USD,PARTIALLY_REFUNDED,PARTIALLY_FULFILLED,137.64,0.00,9.63,147.27,user7125@example.com,US,FL,Miami,gid://shopify/LineItem/16852261349263,Braided USB Data Cable with Display,1,sku-cable-001,stateside4,Large,gid://shopify/Product/11260482306114,Braided USB Data Cable with Display,electronics,gid://shopify/ProductVariant/52634898555065,137.64,137.64,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/1_large_2bad3a68-ae0a-481c-96a7-926922c9bc1d.webp?v=1755876555
gid://shopify/Order/6953584737771,#1201,2025-07-17T20:47:18Z,USD,PARTIALLY_REFUNDED,PARTIALLY_FULFILLED,,,,,user7125@example.com,US,FL,Miami,gid://shopify/LineItem/16995052798856,Yoga Mat,2,sku-yoga-010,stateside6,,gid://shopify/Product/11127634802875,Yoga Mat,fitness,gid://shopify/ProductVariant/51036093870044,0.00,0.00,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/yoga_mat.jpg?v=1715764972
gid://shopify/Order/6982069990304,#1202,2025-08-09T14:34:13Z,USD,PAID,FULFILLED,303.68,0.00,19.64,300.25,user4720@example.com,US,IL,New York,gid://shopify/LineItem/16905338548739,The 3p Fulfilled Snowboard,1,sku-snb-005,stateside8,Default Title,gid://shopify/Product/11671241405070,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/49090218782091,51.21,48.65,2.56,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
gid://shopify/Order/6982069990304,#1202,2025-08-09T14:34:13Z,USD,PAID,FULFILLED,,,,,user4720@example.com,US,IL,New York,gid://shopify/LineItem/15440966437296,Elegant ethnic Anarkali set(White-pink),1,sku-ank-002,stateside5,Standard,gid://shopify/Product/12760164935207,Elegant ethnic Anarkali set(White-pink),apparel,gid://shopify/ProductVariant/50297625209563,65.80,62.51,3.29,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/08_01_2025_X-Design_6.webp?v=1755876894
gid://shopify/Order/6982069990304,#1202,2025-08-09T14:34:13Z,USD,PAID,FULFILLED,,,,,user4720@example.com,US,IL,New York,gid://shopify/LineItem/15040490412161,Cotton Hoodie,1,sku-hood-008,stateside1,Default Title,gid://shopify/Product/11233327674302,Cotton Hoodie,apparel,gid://shopify/ProductVariant/51287457975212,78.82,67.00,11.82,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/hoodie.jpg?v=1715764972
gid://shopify/Order/6982069990304,#1202,2025-08-09T14:34:13Z,USD,PAID,FULFILLED,,,,,user4720@example.com,US,IL,New York,gid://shopify/LineItem/16828872868199,Quartz Watch,1,sku-watch-007,stateside8,Small,gid://shopify/Product/12638479206160,Quartz Watch,accessories,gid://shopify/ProductVariant/48424613088283,107.85,102.45,5.39,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/watch.jpg?v=1715764972
gid://shopify/Order/6555319067437,#1203,2025-09-05T14:14:24Z,USD,PARTIALLY_REFUNDED,PARTIALLY_FULFILLED,276.70,9.99,17.51,277.61,user5634@example.com,US,FL,Austin,gid://shopify/LineItem/15755137240668,Wireless Earbuds,1,sku-eb-009,stateside4,Default Title,gid://shopify/Product/12855273403351,Wireless Earbuds,electronics,gid://shopify/ProductVariant/51097278062824,132.95,106.36,26.59,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6555319067437,#1203,2025-09-05T14:14:24Z,USD,PARTIALLY_REFUNDED,PARTIALLY_FULFILLED,,,,,user5634@example.com,US,FL,Austin,gid://shopify/LineItem/16685939829913,The 3p Fulfilled Snowboard,1,sku-snb-005,stateside2,Small,gid://shopify/Product/12923535652320,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/50943975281234,143.75,143.75,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
gid://shopify/Order/6425345665625,#1204,2025-07-15T05:45:53Z,USD,PAID,PARTIALLY_FULFILLED,310.76,0.00,19.87,303.68,user8671@example.com,,,,gid://shopify/LineItem/16413584357243,Cotton Hoodie,1,sku-hood-008,stateside5,Default Title,gid://shopify/Product/11556559373418,Cotton Hoodie,apparel,gid://shopify/ProductVariant/52288076465846,79.27,79.27,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/hoodie.jpg?v=1715764972
gid://shopify/Order/6425345665625,#1204,2025-07-15T05:45:53Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user8671@example.com,,,,gid://shopify/LineItem/16067894595586,Cotton Hoodie,1,,stateside4,Standard,gid://shopify/Product/11430611938419,Cotton Hoodie,apparel,gid://shopify/ProductVariant/48155547200767,38.05,30.44,7.61,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/hoodie.jpg?v=1715764972
gid://shopify/Order/6425345665625,#1204,2025-07-15T05:45:53Z,USD,PAID,PARTIALLY_FULFILLED,,,,,user8671@example.com,,,,gid://shopify/LineItem/15625359127209,Braided USB Data Cable with Display,3,,stateside9,Small,gid://shopify/Product/11869960973362,Braided USB Data Cable with Display,electronics,gid://shopify/ProductVariant/50039103283955,64.48,174.10,19.34,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/1_large_2bad3a68-ae0a-481c-96a7-926922c9bc1d.webp?v=1755876555
gid://shopify/Order/6379319547634,#1205,2025-09-05T23:41:43Z,USD,PAID,FULFILLED,147.77,9.99,9.41,153.78,,US,WA,Chicago,gid://shopify/LineItem/16527741616400,Braided USB Data Cable with Display,1,sku-cable-001,stateside3,Large,gid://shopify/Product/11498592311443,Braided USB Data Cable with Display,electronics,gid://shopify/ProductVariant/51796327402259,66.94,53.55,13.39,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/1_large_2bad3a68-ae0a-481c-96a7-926922c9bc1d.webp?v=1755876555
gid://shopify/Order/6379319547634,#1205,2025-09-05T23:41:43Z,USD,PAID,FULFILLED,,,,,,US,WA,Chicago,gid://shopify/LineItem/16861538017061,Aviator Sunglasses,1,sku-sun-006,stateside9,Standard,gid://shopify/Product/11107987127088,Aviator Sunglasses,accessories,gid://shopify/ProductVariant/51469637878532,80.83,80.83,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/sunglasses.jpg?v=1715764972
gid://shopify/Order/6513744430735,#1206,2025-07-11T14:45:44Z,USD,PAID,UNFULFILLED,1015.10,0.00,66.37,1014.56,user530@example.com,US,TX,Seattle,gid://shopify/LineItem/16156979153530,Quartz Watch,3,sku-watch-007,stateside9,Standard,gid://shopify/Product/12987654486416,Quartz Watch,accessories,gid://shopify/ProductVariant/50002242107729,82.88,198.92,49.73,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/watch.jpg?v=1715764972
gid://shopify/Order/6513744430735,#1206,2025-07-11T14:45:44Z,USD,PAID,UNFULFILLED,,,,,user530@example.com,US,TX,Seattle,gid://shopify/LineItem/16508168818477,Aviator Sunglasses,3,sku-sun-006,stateside4,Standard,gid://shopify/Product/11189771903449,Aviator Sunglasses,accessories,gid://shopify/ProductVariant/52859390231070,140.00,420.01,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/sunglasses.jpg?v=1715764972
gid://shopify/Order/6513744430735,#1206,2025-07-11T14:45:44Z,USD,PAID,UNFULFILLED,,,,,user530@example.com,US,TX,Seattle,gid://shopify/LineItem/15332950230806,The 3p Fulfilled Snowboard,1,sku-snb-005,stateside9,,gid://shopify/Product/12922074983439,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/52736708686725,174.61,174.61,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
gid://shopify/Order/6513744430735,#1206,2025-07-11T14:45:44Z,USD,PAID,UNFULFILLED,,,,,user530@example.com,US,TX,Seattle,gid://shopify/LineItem/16723786448428,Elegant Pleated kurta(Off-white),3,,stateside1,Standard,gid://shopify/Product/11787820513755,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/49916721806200,57.28,154.65,17.18,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6268222457336,#1207,2025-08-30T16:20:55Z,USD,PAID,FULFILLED,141.52,4.99,9.91,156.42,user9112@example.com,,,,gid://shopify/LineItem/16267371661051,Cotton Hoodie,1,sku-hood-008,stateside2,,gid://shopify/Product/12465612242655,Cotton Hoodie,apparel,gid://shopify/ProductVariant/50365355355396,141.52,141.52,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/hoodie.jpg?v=1715764972
gid://shopify/Order/6317131117458,#1208,2025-08-02T07:43:46Z,USD,AUTHORIZED,FULFILLED,259.83,9.99,16.37,260.20,user8769@example.com,US,FL,Miami,gid://shopify/LineItem/15228837258810,Wireless Earbuds,1,sku-eb-009,stateside7,Large,gid://shopify/Product/12473850846336,Wireless Earbuds,electronics,gid://shopify/ProductVariant/50602853126259,26.24,23.61,2.62,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6317131117458,#1208,2025-08-02T07:43:46Z,USD,AUTHORIZED,FULFILLED,,,,,user8769@example.com,US,FL,Miami,gid://shopify/LineItem/16864824893797,Elegant Pleated kurta(Off-white),3,sku-kurta-003,stateside3,Default Title,gid://shopify/Product/12700167272128,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/52140867315734,77.86,210.23,23.36,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6317131117458,#1208,2025-08-02T07:43:46Z,USD,AUTHORIZED,FULFILLED,,,,,user8769@example.com,US,FL,Miami,gid://shopify/LineItem/16221652897105,Elegant Pleated kurta(Off-white),3,sku-kurta-003,stateside4,,gid://shopify/Product/11306509453952,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/49501667049942,0.00,0.00,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6071970919220,#1209,2025-07-22T19:56:17Z,USD,PAID,UNFULFILLED,242.69,9.99,16.82,267.12,user7554@example.com,,,,gid://shopify/LineItem/15998774221500,Cotton Hoodie,3,sku-hood-008,stateside3,,gid://shopify/Product/12803787470490,Cotton Hoodie,apparel,gid://shopify/ProductVariant/51994376975116,46.76,140.27,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/hoodie.jpg?v=1715764972
gid://shopify/Order/6071970919220,#1209,2025-07-22T19:56:17Z,USD,PAID,UNFULFILLED,,,,,user7554@example.com,,,,gid://shopify/LineItem/16833289580334,The 3p Fulfilled Snowboard,1,sku-snb-005,stateside9,Standard,gid://shopify/Product/11691205612209,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/48820654909020,54.72,54.72,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
gid://shopify/Order/6071970919220,#1209,2025-07-22T19:56:17Z,USD,PAID,UNFULFILLED,,,,,user7554@example.com,,,,gid://shopify/LineItem/16446941807896,Elegant Pleated kurta(Off-white),1,sku-kurta-003,stateside4,,gid://shopify/Product/11805139965058,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/48528989042992,47.70,45.32,2.39,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6789191472501,#1210,2025-07-14T16:28:46Z,USD,PARTIALLY_PAID,FULFILLED,347.80,9.99,21.01,331.13,,US,MA,Boston,gid://shopify/LineItem/16701129180554,Aviator Sunglasses,1,sku-sun-006,stateside7,Default Title,gid://shopify/Product/12998481373275,Aviator Sunglasses,accessories,gid://shopify/ProductVariant/51368914123698,51.66,51.66,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/sunglasses.jpg?v=1715764972
gid://shopify/Order/6789191472501,#1210,2025-07-14T16:28:46Z,USD,PARTIALLY_PAID,FULFILLED,,,,,,US,MA,Boston,gid://shopify/LineItem/15091915396290,Wireless Earbuds,1,sku-eb-009,stateside4,Large,gid://shopify/Product/12515334501337,Wireless Earbuds,electronics,gid://shopify/ProductVariant/51984186341735,64.92,51.94,12.98,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6789191472501,#1210,2025-07-14T16:28:46Z,USD,PARTIALLY_PAID,FULFILLED,,,,,,US,MA,Boston,gid://shopify/LineItem/15158516882453,Wireless Earbuds,2,,stateside2,Large,gid://shopify/Product/12586571303264,Wireless Earbuds,electronics,gid://shopify/ProductVariant/49964974076881,115.61,196.53,34.68,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/earbuds.jpg?v=1715764972
gid://shopify/Order/6221077368050,#1211,2025-08-23T12:01:56Z,USD,PAID,PARTIALLY_FULFILLED,442.48,0.00,29.99,458.47,,,,,gid://shopify/LineItem/16603404825527,The 3p Fulfilled Snowboard,3,,stateside3,Standard,gid://shopify/Product/12550532887226,The 3p Fulfilled Snowboard,snowboard,gid://shopify/ProductVariant/50695723792546,31.09,79.29,13.99,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1715764969
gid://shopify/Order/6221077368050,#1211,2025-08-23T12:01:56Z,USD,PAID,PARTIALLY_FULFILLED,,,,,,,,,gid://shopify/LineItem/16400211934925,Quartz Watch,2,sku-watch-007,stateside3,Standard,gid://shopify/Product/11864382346971,Quartz Watch,accessories,gid://shopify/ProductVariant/50272876528321,153.61,307.21,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/watch.jpg?v=1715764972
gid://shopify/Order/6221077368050,#1211,2025-08-23T12:01:56Z,USD,PAID,PARTIALLY_FULFILLED,,,,,,,,,gid://shopify/LineItem/16798159142418,Elegant Pleated kurta(Off-white),1,sku-kurta-003,stateside3,Default Title,gid://shopify/Product/12901654745011,Elegant Pleated kurta(Off-white),apparel,gid://shopify/ProductVariant/52631429893833,41.98,41.98,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/572b6464-291c-4392-9c3c-84197d845271.webp?v=1755877017
gid://shopify/Order/6099214544499,#1212,2025-07-13T17:08:29Z,USD,PARTIALLY_REFUNDED,PARTIALLY_FULFILLED,0.00,0.00,0.00,0.00,user2414@example.com,US,IL,New York,gid://shopify/LineItem/16395887848564,Braided USB Data Cable with Display,2,,stateside3,Small,gid://shopify/Product/12715046571369,Braided USB Data Cable with Display,electronics,gid://shopify/ProductVariant/52388326547329,0.00,0.00,0.00,True,False,True,https://cdn.shopify.com/s/files/1/0873/3019/3726/files/1_large_2bad3a68-ae0a-481c-96a7-926922c9bc1d.webp?v=1755876555
